    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
  17.600	   0.293	       582.525	        25.463	     9.109	   517.574	   -44.888	    92.124	     0.022	    -2.047	504.790755	504.790755	576.897351	2282.904756
  17.800	   0.287	       588.363	        26.652	     5.687	   516.335	   -64.105	    91.509	     0.014	    -2.905	510.557686	510.557686	582.670564	2284.275596
  18.000	   0.282	       595.392	        30.499	     2.353	   514.661	   -83.232	    90.948	     0.006	    -3.762	516.467856	516.467856	589.172055	2287.761422
  18.200	   0.277	       600.615	        33.911	    -1.058	   512.531	  -104.075	    90.426	    -0.003	    -4.708	523.392038	523.392038	595.660306	2291.892926
  18.400	   0.272	       599.369	        35.179	    -4.218	   509.911	  -126.708	    90.168	    -0.010	    -5.787	522.073613	522.073613	594.553967	2292.261039
  18.600	   0.267	       589.812	        35.241	    -7.295	   506.653	  -154.732	    90.375	    -0.018	    -7.238	512.833365	512.833365	584.998361	2292.345467
  18.800	   0.262	       572.600	        34.048	   -10.096	   502.715	  -181.305	    91.010	    -0.025	    -8.804	497.038643	497.038643	568.710063	2290.744442
  19.000	   0.257	       552.559	        34.874	   -12.183	   498.202	  -200.494	    92.007	    -0.030	   -10.223	478.881716	478.881716	550.298606	2291.917995
  19.200	   0.252	       536.118	        41.829	   -13.622	   493.288	  -212.594	    93.244	    -0.035	   -11.469	462.785179	462.785179	533.664600	2297.890446
  19.400	   0.247	       516.958	        48.781	   -14.877	   488.066	  -222.863	    94.809	    -0.039	   -12.834	444.091319	444.091319	515.121882	2305.070023
  19.600	   0.242	       497.359	        56.319	   -16.035	   482.545	  -232.101	    96.594	    -0.043	   -14.356	425.136515	425.136515	495.879472	2313.101016
  19.800	   0.237	       479.566	        61.016	   -16.825	   476.783	  -235.123	    97.986	    -0.047	   -15.514	408.480229	408.480229	478.878510	2317.218421
  20.000	   0.232	       466.434	        60.927	   -16.844	   470.997	  -228.951	    98.345	    -0.047	   -15.785	397.047447	397.047447	466.567208	2316.093405
  20.200	   0.227	       463.952	        62.447	   -16.125	   465.393	  -215.680	    97.650	    -0.046	   -15.197	395.794305	395.794305	465.103576	2316.858798
  20.400	   0.222	       466.629	        63.393	   -15.047	   460.129	  -197.918	    96.325	    -0.043	   -14.040	399.431038	399.431038	468.664083	2318.109202
  20.600	   0.217	       473.909	        66.965	   -13.903	   455.275	  -180.164	    94.860	    -0.039	   -12.796	406.498949	406.498949	475.618595	2321.739186
  20.800	   0.212	       485.849	        73.608	   -12.666	   450.805	  -163.531	    93.311	    -0.035	   -11.576	419.080848	419.080848	487.848691	2327.423312
  21.000	   0.207	       499.298	        77.268	   -10.849	   446.772	  -143.532	    91.381	    -0.030	   -10.011	434.551879	434.551879	502.604772	2330.768220
  21.200	   0.202	       509.241	        80.929	    -8.661	   443.271	  -122.156	    89.983	    -0.024	    -8.458	445.126114	445.126114	513.286898	2334.135329
  21.400	   0.197	       514.820	        83.329	    -6.148	   440.326	   -99.662	    89.043	    -0.017	    -6.894	450.200587	450.200587	518.425575	2336.030962
  21.600	   0.192	       517.626	        83.338	    -3.437	   437.981	   -77.261	    88.274	    -0.009	    -5.337	454.413922	454.413922	522.443284	2336.093026
  21.800	   0.187	       517.708	        84.967	    -0.463	   436.184	   -59.253	    88.065	    -0.001	    -4.124	454.653676	454.653676	522.503037	2337.241246
  22.000	   0.182	       516.833	        84.289	     2.428	   434.811	   -44.683	    87.810	     0.007	    -3.122	453.803272	453.803272	521.653418	2336.887984
  22.200	   0.176	       512.106	        81.899	     4.953	   433.813	   -31.544	    87.852	     0.014	    -2.221	447.900919	447.900919	516.075014	2334.988498
  22.400	   0.171	       506.984	        78.268	     6.928	   433.121	   -21.602	    87.872	     0.019	    -1.529	441.053262	441.053262	509.885584	2331.862263
  22.600	   0.166	       501.656	        70.257	     8.377	   432.663	   -13.971	    87.513	     0.023	    -0.984	434.786648	434.786648	503.614528	2324.285821
  22.800	   0.161	       498.655	        62.891	     9.432	   432.385	    -8.354	    87.023	     0.026	    -0.583	430.813956	430.813956	500.198221	2317.151676
